Master Record Number;Year;Month;Day;Hour;Primary Factor;Reported_Location;Latitude;Longitude
902364268;2015;1;6;1500;FOLLOWING TOO CLOSELY;2ND & COLLEGE;39.16144;-86.534848
902364412;2015;1;6;2300;DISREGARD SIGNAL/REG SIGN;BASSWOOD & BLOOMFIELD;39.14978027;-86.56889006
902364551;2015;1;7;0900;FAILURE TO YIELD RIGHT OF WAY;GATES & JACOBS;39.165655;-86.57595635
902364682;2015;1;6;1200;DRIVER DISTRACTED - EXPLAIN IN NARRATIVE;SOUTH CURRY PIKE LOT 71;39.150825;-86.584899
902364683;2015;1;6;1400;ENGINE FAILURE OR DEFECTIVE;NORTH LOUDEN RD;39.19927216;-86.63702393
902364756;2015;1;7;1600;RAN OFF ROAD RIGHT;PATTERSON & W 3RD;39.16344009;-86.55128002
902364761;2015;1;7;1500;UNSAFE BACKING;S LIBERTY;39.145264;-86.577616
902365193;2015;1;1;1800;ROADWAY SURFACE CONDITION;17TH & MONROE;39.179248;-86.547104
902365255;2015;1;1;1600;;NORTH GRANT;39.17830276;-86.52934265
902365763;2015;1;1;0700;SPEED TOO FAST FOR WEATHER CONDITIONS;CHAPEL HILL & SR446S;39.02843027;-86.40780689
902365865;2015;1;2;0700;ANIMAL/OBJECT IN ROADWAY;3320 E RHORER & SNODDY;39.121584;-86.489744
902367655;2015;1;7;1800;PEDESTRIAN ACTION;COOLIDGE & ROCKPORT;39.14192595;-86.54314176
902367716;2015;1;3;1900;IMPROPER TURNING;DEER PARK & SR46W;39.21210074;-86.58736299
902368658;2015;1;4;1700;UNSAFE LANE MOVEMENT;FESS & THIRD;39.16427777;-86.52588752
902369585;2015;1;5;2000;LEFT OF CENTER;CHAFIN CHAPEL & W STATE ROAD 46;39.25962636;-86.65763204
902369933;2015;1;1;1300;IMPROPER LANE USAGE;CURRY & SR46W;39.15835953;-86.58264923
902372874;2015;1;2;0800;OVERCORRECTING/OVERSTEERING;SHUFFLE CREEK & SR45E;39.22993318;-86.4157437
902375812;2015;1;7;0700;BRAKE FAILURE OR DEFECTIVE;17TH & COLLEGE;39.17896;-86.53472
902376691;2015;1;2;0300;UNSAFE SPEED;E 13TH & INDIANA;39.175504;-86.527104
902384833;2015;1;7;0300;DRIVER ASLEEP OR FATIGUED;E CHAMBERS & SR37;39.30651541;-86.51481628
902386082;2015;2;3;0900;VIEW OBSTRUCTED;SOUTH MULLER;39.16180998;-86.56743228
902400433;2015;2;4;1500;DRIVER ILLNESS;SALE & SR46;39.23414396;-86.62434641
902401113;2015;2;2;1100;IMPROPER PASSING;3RD & HAWTHORNE;39.16425012;-86.52009644
902404624;2015;2;4;1400;OTHER (VEHICLE) - EXPLAIN IN NARRATIVE;S LEONARD SPRINGS;39.133808;-86.58258358
902411471;2015;3;3;1200;OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR;DANIELS;39.16671172;-86.59908838
902380012;2015;1;1;1100;WRONG WAY ON ONE WAY;EAST THIRD & SR46N;39.09088158;-86.51473999
902383313;2015;1;5;1000;ACCELERATOR FAILURE OR DEFECTIVE;N WALNUT & SR46W;39.186368;-86.5344
902391704;2015;2;3;1000;INSECURE/LEAKY LOAD;FLUCK MILL & VICTOR;39.07377988;-86.57107003
902399641;2015;2;7;2000;CELL PHONE USAGE;ROCKPORT & W COUNTRY CLUB;39.136448;-86.548704
902419038;2015;3;6;1300;TIRE FAILURE OR DEFECTIVE;CURRY & VERNAL;39.17915985;-86.58308029
902474678;2015;7;6;2200;OTHER TELEMATICS IN USE;E BRESSINGHAM & S CHEEKWOOD;39.1504898;-86.49929009
902497098;2015;8;6;1600;OTHER LIGHTS DEFECTIVE;N LOESCH & W VERNAL;39.17920008;-86.59107425
902534157;2015;10;3;1500;STEERING FAILURE;LAKEVIEW & SR46W;39.22148334;-86.60616326
902522706;2015;9;5;1000;OBSTRUCTION NOT MARKED;CURRY & PROFILE;39.17196013;-86.5829797
902523753;2015;9;6;2200;OVERSIZE/OVERWEIGHT LOAD;NORTH JORDAN;39.16711003;-86.51624299
902549851;2015;10;7;0400;HOLES/RUTS IN SURFACE;DAISY;39.22788754;-86.60496175
902558654;2015;11;2;2000;TRAFFIC CONTROL INOPERATIVE/MISSING/OBSC;JORDAN & LAW;39.173552;-86.515488
901669420;2011;7;7;1800;NONE (DRIVER);ALLENS CREEK RD;39.03126907;-86.42193603
901359524;2010;5;3;0500;GLARE;COUNTY LINE & SR46W;39.281744;-86.6848
901252989;2010;1;6;0400;ALCOHOLIC BEVERAGES;WEST WOODLAND DR;39.281388;-86.59397
901177230;2009;9;1;2000;PRESCRIPTION DRUGS;FEE & SR4546E;39.186032;-86.51984
901165545;2009;8;4;1100;NONE (VEHICLE);EAST TENTH ST;39.171546;-86.504172
901216208;2009;11;6;1700;PASSENGER DISTRACTION;3RD ST & COLLEGE MALL;39.16425829;-86.50016389
901059900;2009;2;1;1000;ILLEGAL DRUGS;HOBART & OLD 37 HWY;39.06635848;-86.54098
900854788;2008;3;3;1000;JACKKNIFING;SR37N & W VERNAL;39.176544;-86.5624
900899370;2008;5;2;1100;UTILITY WORK;11TH ST & MORTON ST ST;39.173216;-86.536
900685656;2007;6;3;1200;RAN OFF ROAD LEFT;WEST WYLIE ST;39.158402;-86.541056
1804616;2006;9;1;1400;NONE (ENVIRONMENTAL);RICE & RICE RD;39.14839895;-86.67355111
1952299;2005;8;1;2200;VIOLATION OF LICENSE RESTRICTION;SR37 & WAYPORT;39.263024;-86.52264
